Emp_id,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Monthly Investment,Retirement Target,Risk Tolerance
376,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,9000,17000000,Medium
377,44,Female,PhD,Senior Business Analyst,15,150000,4000,18000000,High
378,33,Male,Bachelor's,Junior Marketing Specialist,5,70000,13000,10000000,Medium
379,35,Female,Bachelor's,Senior Financial Manager,8,90000,10000,15000000,Medium
380,43,Male,Master's,Director of Marketing,18,170000,8000,15000000,High
381,31,Female,Bachelor's,Junior Financial Analyst,3,50000,9000,9000000,Low
382,41,Male,Bachelor's,Senior Product Manager,14,150000,2000,7000000,High
383,44,Female,PhD,Senior Data Engineer,16,160000,1000,16000000,High
384,33,Male,Bachelor's,Junior Business Analyst,4,60000,5000,13000000,Low
385,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,9000,13000000,Medium
386,43,Male,Master's,Director of Operations,19,170000,6000,11000000,High
387,29,Female,Bachelor's,Junior Project Manager,2,40000,10000,17000000,Low
388,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,3000,11000000,Medium
389,44,Female,PhD,Senior Business Analyst,15,150000,11000,5000000,High
390,29,Female,Bachelor's,Junior Project Manager,2,40000,5000,18000000,Low
391,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,1000,12000000,Medium
392,44,Female,PhD,Senior Business Analyst,15,150000,8000,16000000,High
393,33,Male,Bachelor's,Junior Marketing Specialist,5,70000,3000,12000000,Medium
394,35,Female,Bachelor's,Senior Financial Manager,8,90000,1000,8000000,Medium
395,43,Male,Master's,Director of Marketing,18,170000,4000,11000000,High
396,31,Female,Bachelor's,Junior Financial Analyst,3,50000,13000,6000000,Low
397,41,Male,Bachelor's,Senior Product Manager,14,150000,13000,14000000,High
398,44,Female,PhD,Senior Data Engineer,16,160000,8000,18000000,High
399,33,Male,Bachelor's,Junior Business Analyst,4,60000,6000,16000000,Low
400,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,11000,6000000,Medium
401,43,Male,Master's,Director of Operations,19,170000,7000,18000000,High
402,29,Female,Bachelor's,Junior Project Manager,2,40000,1000,14000000,Low
403,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,4000,17000000,Medium
404,44,Female,PhD,Senior Business Analyst,15,150000,2000,12000000,High
405,29,Female,Bachelor's,Junior Project Manager,2,40000,8000,7000000,Low
406,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,6000,15000000,Medium
407,44,Female,PhD,Senior Business Analyst,15,150000,2000,11000000,High
408,33,Male,Bachelor's,Junior Marketing Specialist,5,70000,2000,18000000,Medium
409,35,Female,Bachelor's,Senior Financial Manager,8,90000,5000,6000000,Medium
410,43,Male,Master's,Director of Marketing,18,170000,6000,16000000,High
411,31,Female,Bachelor's,Junior Financial Analyst,3,50000,3000,12000000,Low
412,41,Male,Bachelor's,Senior Product Manager,14,150000,7000,6000000,High
413,44,Female,PhD,Senior Data Engineer,16,160000,14000,10000000,High
414,33,Male,Bachelor's,Junior Business Analyst,4,60000,3000,5000000,Low
415,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,14000,11000000,Medium
416,43,Male,Master's,Director of Operations,19,170000,13000,18000000,High
417,29,Female,Bachelor's,Junior Project Manager,2,40000,2000,17000000,Low
418,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,2000,11000000,Medium
419,44,Female,PhD,Senior Business Analyst,15,150000,4000,16000000,High
420,38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000,2000,17000000,Medium
421,46,Male,Master's,Director of Operations,20,170000,11000,15000000,High
422,29,Female,Bachelor's,Junior Sales Representative,2,40000,4000,14000000,Low
423,37,Male,Master's,Senior Business Analyst,9,105000,14000,10000000,High
424,44,Female,PhD,Senior UX Designer,15,145000,7000,10000000,High
425,27,Male,Bachelor's,Junior Product Manager,2,40000,6000,17000000,Low
426,36,Female,Bachelor's,Senior Marketing Specialist,8,85000,6000,16000000,Medium
427,43,Male,Bachelor's,Senior IT Project Manager,14,130000,12000,6000000,High
428,33,Female,Master's,Senior Financial Analyst,6,95000,6000,9000000,Medium
429,34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000,14000,11000000,High
430,50,Female,PhD,Director of Sales and Marketing,22,180000,10000,10000000,High
431,28,Male,Bachelor's,Junior Operations Analyst,1.5,35000,12000,16000000,Low
432,39,Female,Bachelor's,Senior Account Executive,12,95000,1000,10000000,Medium
433,47,Male,Master's,Director of Business Development,19,170000,8000,7000000,High
434,30,Female,Bachelor's,Junior Social Media Manager,3,45000,14000,6000000,Low
435,34,Male,Bachelor's,Senior Product Manager,7,95000,6000,6000000,Medium
436,40,Female,Master's,Senior Human Resources Specialist,13,120000,10000,6000000,High
437,28,Male,Bachelor's,Junior Business Analyst,2,40000,6000,14000000,Low
438,41,Female,Bachelor's,Senior Marketing Coordinator,11,90000,14000,6000000,Medium
439,45,Male,PhD,Senior Data Analyst,17,155000,6000,19000000,High
440,32,Female,Bachelor's,Junior Account Manager,5,55000,1000,19000000,Low
441,35,Male,Master's,Senior Software Developer,9,110000,7000,9000000,High
442,49,Female,Master's,Director of Human Capital,21,180000,9000,13000000,High
443,30,Male,Bachelor's,Junior Advertising Coordinator,3,45000,11000,9000000,Low
444,44,Male,Bachelor's,Senior Sales Manager,16,130000,7000,17000000,High
445,27,Female,Master's,Junior UX Designer,1.5,45000,4000,8000000,Low
446,36,Male,Bachelor's,Senior Accountant,7,90000,2000,8000000,Medium
447,41,Female,PhD,Senior Marketing Director,17,160000,4000,11000000,High
448,31,Male,Bachelor's,Junior HR Generalist,4,50000,13000,19000000,Low
449,39,Female,Bachelor's,Senior Operations Manager,10,120000,9000,19000000,High
450,47,Male,Master's,Director of Finance,20,170000,1000,7000000,High
451,38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000,14000,9000000,Medium
452,46,Male,Master's,Director of Operations,20,170000,7000,18000000,High
453,29,Female,Bachelor's,Junior Sales Representative,2,40000,13000,13000000,Low
454,37,Male,Master's,Senior Business Analyst,9,105000,13000,16000000,High
455,44,Female,PhD,Senior UX Designer,15,145000,3000,9000000,High
456,27,Male,Bachelor's,Junior Product Manager,2,40000,13000,12000000,Low
457,36,Female,Bachelor's,Senior Marketing Specialist,8,85000,6000,5000000,Medium
458,43,Male,Bachelor's,Senior IT Project Manager,14,130000,14000,12000000,High
459,33,Female,Master's,Senior Financial Analyst,6,95000,11000,6000000,Medium
460,34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000,9000,10000000,High
461,50,Female,PhD,Director of Sales and Marketing,22,180000,4000,17000000,High
462,28,Male,Bachelor's,Junior Operations Analyst,1.5,35000,9000,15000000,Low
463,39,Female,Bachelor's,Senior Account Executive,12,95000,1000,15000000,Medium
464,47,Male,Master's,Director of Business Development,19,170000,6000,6000000,High
465,30,Female,Bachelor's,Junior Social Media Manager,3,45000,12000,8000000,Low
466,34,Male,Bachelor's,Senior Product Manager,7,95000,10000,5000000,Medium
467,40,Female,Master's,Senior Human Resources Specialist,13,120000,12000,7000000,High
468,28,Male,Bachelor's,Junior Business Analyst,2,40000,14000,10000000,Low
469,41,Female,Bachelor's,Senior Marketing Coordinator,11,90000,1000,19000000,Medium
470,45,Male,PhD,Senior Data Analyst,17,155000,10000,19000000,High
471,32,Female,Bachelor's,Junior Account Manager,5,55000,13000,9000000,Low
472,35,Male,Master's,Senior Software Developer,9,110000,13000,12000000,High
473,49,Female,Master's,Director of Human Capital,21,180000,2000,19000000,High
474,30,Male,Bachelor's,Junior Advertising Coordinator,3,45000,2000,16000000,Low
475,44,Male,Bachelor's,Senior Sales Manager,16,130000,7000,6000000,High
476,27,Female,Master's,Junior UX Designer,1.5,45000,7000,7000000,Low
477,36,Male,Bachelor's,Senior Accountant,7,90000,10000,11000000,Medium
478,41,Female,PhD,Senior Marketing Director,17,160000,4000,8000000,High
479,31,Male,Bachelor's,Junior HR Generalist,4,50000,6000,13000000,Low
480,39,Female,Bachelor's,Senior Operations Manager,10,120000,10000,16000000,High
481,47,Male,Master's,Director of Finance,20,170000,13000,16000000,High
482,38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000,4000,7000000,Medium
483,46,Male,Master's,Director of Operations,20,170000,1000,10000000,High
484,29,Female,Bachelor's,Junior Sales Representative,2,40000,13000,6000000,Low
485,37,Male,Master's,Senior Business Analyst,9,105000,6000,6000000,High
486,44,Female,PhD,Senior UX Designer,15,145000,12000,12000000,High
487,27,Male,Bachelor's,Junior Product Manager,2,40000,3000,8000000,Low
488,36,Female,Bachelor's,Senior Marketing Specialist,8,85000,10000,12000000,Medium
489,43,Male,Bachelor's,Senior IT Project Manager,14,130000,13000,13000000,High
490,33,Female,Master's,Senior Financial Analyst,6,95000,3000,9000000,Medium
491,34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000,8000,6000000,High
492,50,Female,PhD,Director of Sales and Marketing,22,180000,4000,16000000,High
493,28,Male,Bachelor's,Junior Operations Analyst,1.5,35000,7000,11000000,Low
494,39,Female,Bachelor's,Senior Account Executive,12,95000,1000,5000000,Medium
495,47,Male,Master's,Director of Business Development,19,170000,3000,15000000,High
496,30,Female,Bachelor's,Junior Social Media Manager,3,45000,4000,8000000,Low
497,34,Male,Bachelor's,Senior Product Manager,7,95000,2000,13000000,Medium
498,40,Female,Master's,Senior Human Resources Specialist,13,120000,12000,7000000,High
499,28,Male,Bachelor's,Junior Business Analyst,2,40000,10000,17000000,Low
500,41,Female,Bachelor's,Senior Marketing Coordinator,11,90000,8000,9000000,Medium
501,45,Male,PhD,Senior Data Analyst,17,155000,8000,12000000,High
502,32,Female,Bachelor's,Junior Account Manager,5,55000,5000,9000000,Low
503,35,Male,Master's,Senior Software Developer,9,110000,10000,11000000,High
504,49,Female,Master's,Director of Human Capital,21,180000,7000,15000000,High
505,30,Male,Bachelor's,Junior Advertising Coordinator,3,45000,8000,16000000,Low
506,44,Male,Bachelor's,Senior Sales Manager,16,130000,10000,14000000,High
507,27,Female,Master's,Junior UX Designer,1.5,45000,14000,7000000,Low
508,36,Male,Bachelor's,Senior Accountant,7,90000,6000,5000000,Medium
509,41,Female,PhD,Senior Marketing Director,17,160000,5000,5000000,High
510,31,Male,Bachelor's,Junior HR Generalist,4,50000,14000,17000000,Low
511,39,Female,Bachelor's,Senior Operations Manager,10,120000,13000,6000000,High
512,47,Male,Master's,Director of Finance,20,170000,12000,9000000,High
513,38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000,3000,12000000,Medium
514,46,Male,Master's,Director of Operations,20,170000,3000,12000000,High
515,29,Female,Bachelor's,Junior Sales Representative,2,40000,4000,8000000,Low
516,37,Male,Master's,Senior Business Analyst,9,105000,9000,5000000,High
517,44,Female,PhD,Senior UX Designer,15,145000,2000,10000000,High
518,27,Male,Bachelor's,Junior Product Manager,2,40000,9000,13000000,Low
519,36,Female,Bachelor's,Senior Marketing Specialist,8,85000,4000,6000000,Medium
520,43,Male,Bachelor's,Senior IT Project Manager,14,130000,7000,15000000,High
521,33,Female,Master's,Senior Financial Analyst,6,95000,14000,9000000,Medium
522,34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000,14000,17000000,High
523,50,Female,PhD,Director of Sales and Marketing,22,180000,13000,15000000,High
524,28,Male,Bachelor's,Junior Operations Analyst,1.5,35000,8000,9000000,Low
525,39,Female,Bachelor's,Senior Account Executive,12,95000,2000,9000000,Medium
526,47,Male,Master's,Director of Business Development,19,170000,4000,19000000,High
527,30,Female,Bachelor's,Junior Social Media Manager,3,45000,4000,10000000,Low
528,34,Male,Bachelor's,Senior Product Manager,7,95000,5000,15000000,Medium
529,40,Female,Master's,Senior Human Resources Specialist,13,120000,5000,19000000,High
530,28,Male,Bachelor's,Junior Business Analyst,2,40000,5000,16000000,Low
531,41,Female,Bachelor's,Senior Marketing Coordinator,11,90000,1000,11000000,Medium
532,45,Male,PhD,Senior Data Analyst,17,155000,1000,7000000,High
533,32,Female,Bachelor's,Junior Account Manager,5,55000,9000,14000000,Low
534,35,Male,Master's,Senior Software Developer,9,110000,3000,18000000,High
535,49,Female,Master's,Director of Human Capital,21,180000,10000,19000000,High
536,30,Male,Bachelor's,Junior Advertising Coordinator,3,45000,11000,18000000,Low
537,44,Male,Bachelor's,Senior Sales Manager,16,130000,1000,17000000,High
538,27,Female,Master's,Junior UX Designer,1.5,45000,7000,7000000,Low
539,36,Male,Bachelor's,Senior Accountant,7,90000,9000,15000000,Medium
540,41,Female,PhD,Senior Marketing Director,17,160000,4000,13000000,High
541,31,Male,Bachelor's,Junior HR Generalist,4,50000,11000,7000000,Low
542,39,Female,Bachelor's,Senior Operations Manager,10,120000,7000,7000000,High
543,47,Male,Master's,Director of Finance,20,170000,13000,19000000,High
